Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
5812,C1896,2,6,365,42,26,674,42,2,Area1,3
3393,C1898,5,10,368,13,13,2438,10,1,Area1,1
4337,C1899,3,6,366,15,15,4406,14,2,Area1,2
2563,C1905,4,23,286,6,6,2137,6,2,Area1,3
4263,C1907,2,5,304,16,16,545,15,2,Area1,2
4313,C1910,5,20,459,23,18,3134,23,2,Area1,1
3438,C1912,3,6,446,9,9,290,9,2,Area1,1
2750,C1913,3,9,353,16,9,249,16,2,Area1,1
2688,C1914,2,6,138,17,11,164,17,1,Area1,2
2662,C1918,3,7,439,22,13,1667,20,1,Area1,3
4650,C1920,3,7,364,23,20,5051,23,2,Area1,1
3719,C1921,3,11,431,14,10,205,14,2,Area1,3
3550,C1926,2,8,377,16,16,111,16,1,Area1,2
3874,C1928,2,5,450,15,15,1426,11,2,Area1,3
3375,C1930,2,5,413,17,15,548,17,2,Area1,2
4807,C1941,4,8,291,8,8,338,3,2,Area1,2
3554,C1961,3,7,438,15,14,2009,15,2,Area2,2
4827,C1969,3,6,457,18,18,3919,4,1,Area1,3
2750,C1970,4,22,201,8,5,152,8,2,Area1,2
4256,C1982,4,6,317,15,15,4385,15,2,Area1,1
3500,C1990,2,6,392,17,14,2872,17,2,Area1,2
2812,C1992,4,5,421,16,13,599,16,2,Area1,2
3282,C1993,3,9,463,11,11,891,11,2,Area2,1
3501,C1999,7,11,367,17,16,1932,17,1,Area1,3
2875,C2002,3,6,425,16,14,1644,16,2,Area1,3
4313,C2012,3,6,204,17,12,2810,17,2,Area1,3
5563,C2014,3,6,224,33,23,427,33,2,Area1,1
7072,C2019,4,9,366,10,11,83,0,2,Area1,3
4600,C2024,2,5,313,19,19,628,19,2,Area1,3
2666,C2027,2,5,452,9,9,1705,9,2,Area2,3
4000,C2029,3,7,411,14,12,1129,14,2,Area1,1
3000,C2030,4,7,282,16,13,2491,16,2,Area1,1
4375,C2041,3,6,204,12,12,1014,12,2,Area1,1
3125,C2043,2,9,161,10,10,229,10,2,Area1,2
3938,C2047,3,6,375,25,19,2175,25,2,Area1,1
2688,C2048,2,7,313,10,10,1702,10,1,Area1,3
3000,C2049,4,10,452,9,9,2166,9,2,Area1,1
3688,C2057,5,8,392,19,17,2034,19,1,Area1,1
7370,C2064,5,9,442,34,31,2251,25,1,Area1,2
4363,C2065,2,5,349,16,14,4349,16,2,Area1,3
3250,C2075,3,14,441,12,10,663,12,2,Area1,3
2599,C2086,3,7,372,10,9,915,10,2,Area2,1
8063,C2088,3,6,305,30,28,10307,30,2,Area1,1
